round,method,task,worker,fairness-pairwise,avg-quality,avg-utility
2,heuristic,36,80,0.8875,1.081109839509287,0.8114583333333332
3,max-cover,32,160,0.706640625,1.476969795848862,0.491796875
3,budget,32,160,0.944921875,1.4838650549506558,0.6798828125
3,heuristic,32,160,0.8814453125,1.4985875810872669,0.580078125
3,max-cover,36,80,0.6798611111111111,0.5630304783398179,0.6281249999999999
3,budget,36,80,0.9982638888888888,0.5476966018547675,0.9916666666666664
3,heuristic,36,80,0.8996527777777777,0.5474913560318247,0.8368055555555554
4,max-cover,32,160,0.6693359375,1.1593163043994197,0.465234375
4,budget,32,160,0.9390625,1.1694129335615302,0.6583984375
4,heuristic,32,160,0.941796875,1.164137587515439,0.646875
4,max-cover,36,80,0.6128472222222222,0.6949837744968251,0.5545138888888889
4,budget,36,80,0.9993055555555556,0.6929036215757342,0.9881944444444442
4,heuristic,36,80,0.8555555555555556,0.6949606699999706,0.7833333333333333
0,max-cover,36,160,0.7086805555555555,1.6065408438787394,0.5133680555555555
0,budget,36,160,0.9449652777777776,1.608433056757769,0.7097222222222224
0,heuristic,36,160,0.9310763888888888,1.605889574326442,0.6694444444444447
0,max-cover,40,80,0.6296875,0.5311012324173633,0.5909375
0,budget,40,80,0.999375,0.5227572467831856,0.9925
0,heuristic,40,80,0.8725,0.5227572467831856,0.81375
1,max-cover,36,160,0.6640625,1.6216153202476422,0.5076388888888888
1,budget,36,160,0.9435763888888888,1.6411969168642564,0.6878472222222223
1,heuristic,36,160,0.9241319444444444,1.6385422866383372,0.6559027777777778
1,max-cover,40,80,0.5640625,0.6585399236811054,0.5256250000000002
1,budget,40,80,0.99875,0.6484377500674217,0.9928125
1,heuristic,40,80,0.829375,0.6478135051800639,0.7596875
2,max-cover,36,160,0.6512152777777778,1.3782235518173325,0.492013888888889
2,budget,36,160,0.9583333333333334,1.3727616623810794,0.7387152777777779
2,heuristic,36,160,0.8857638888888889,1.3684160790973896,0.6487847222222224
2,max-cover,40,80,0.54,1.0421738855443174,0.51
2,budget,40,80,0.9984375,1.0430699848067433,0.9962500000000002
2,heuristic,40,80,0.7871875,1.0429778762834296,0.7184375
3,max-cover,36,160,0.6949652777777777,1.6470032836210402,0.5098958333333333
3,budget,36,160,0.9616319444444444,1.638966584257634,0.7098958333333333
3,heuristic,36,160,0.9208333333333334,1.6415402863298174,0.6496527777777776
3,max-cover,40,80,0.663125,0.6021789070909238,0.6075
3,budget,40,80,1.0,0.5839511425225388,0.9965625
3,heuristic,40,80,0.888125,0.5838377348339694,0.8421875000000002
4,max-cover,36,160,0.7347222222222223,1.2302154747689558,0.5032986111111112
4,budget,36,160,0.9545138888888888,1.2350831745722897,0.7149305555555558
4,heuristic,36,160,0.9131944444444444,1.229606972940755,0.6468750000000001
4,max-cover,40,80,0.6103125,0.4064890037241283,0.5909375000000001
4,budget,40,80,1.0,0.4033118275374661,0.9971875
4,heuristic,40,80,0.8778125,0.4029563884575956,0.8190625
0,max-cover,40,160,0.70375,1.1891701339274596,0.5393749999999999
0,budget,40,160,0.96515625,1.1883180525286572,0.7840624999999997
0,heuristic,40,160,0.900625,1.1906346331060806,0.6640624999999998
1,max-cover,40,160,0.7424999999999999,1.5479592493778456,0.5614062499999999
1,budget,40,160,0.95078125,1.5488810088908058,0.7703124999999997
